"","Pokud dojde k vyzrazení fráze, v co nejkratším době proveďte zmenu všech hesel na všech navštěvovaných stránkách","If the phrase is revealed, change all passwords on all visited sites as soon as possible"
"","Pokud provádíte obnovu, přepište obsah okénka uloženou frází","If you are recovering, please rewrite the contents of the window with a saved phrase"
"","Pokud zadáte dodatečnou tajnou frázi špatně, obdržíte jiná hesla","If you enter the wrong secret phrase, you will get other passwords"
"","Pokud ztratíte dodatečnou tajnou frázi, ztratíte též přístup k uloženým heslům","If you lose an additional secret phrase, you will also lose access to saved passwords"
"","Pro smazání profilu stránky, podržte prosím tlačítko déle než jednu sekundu","To delete the profile of the site, please hold the button for more than one second"
"","Pro tuto funkci je vyžadována přítomnost fotoaparátu v zařízení. Fotoaparát však nebyl nalezen nebo není správně zapojen či nastaven","This feature requires camera presence on the device. However, the camera has not been found or is not properly connected or set up"
"","Protože hesla jsou generována, pokud ztratíte zařízení, stačí na novém zařízení nastavit stejné hlavní heslo a znovu získáte přístup ke všem již vygenerovaným heslům.","Because passwords are generated, if you lose a device, just set up the same master password on the new device and get access to all the previously generated passwords."
"","Protože hesla nejsou ukládána, ale jsou generována, aplikace si může pamatovat neomezené množství hesel. Pokud Vás stránka nutí změnit heslo, stačí požádat aplikaci o vygenerování dalšího hesla, atd.","Because passwords are not saved but are generated, the application can remember an unlimited number of passwords. If the page forces you to change your password, just ask the application to generate another password,"
"","Při ztrátě PIN postačí aplikaci smazat a obnovit nastavení pomocí uložené fráze","If the PIN is lost, it is enough to delete the application and restore the settings using a saved phrase"
"","Připravte si <strong>tužku a papír</strong> na který si zaznamenáte tajnou frázi. Aplikace Vám nějakou připraví. Můžete si však vymyslet vlastní, měla by být co nejdelší a hlavně tajná a unikátní. Něco, co můžete znát pouze vy a nikdo jiný. Samozřejmě si ji dobře zaznamenejte. Zaznamenanou frázi uložte na bezpečném místě <strong>mimo online svět</strong>","Prepare a <strong> pencil and paper </strong> that you'll find a secret phrase. The application will prepare you for some. You can think of yourself, it should be as long as possible, and especially secret and unique. Something that only you and no one else can know. Of course you can record it well. Save the saved phrase in a safe place <strong> outside the online world </strong>"
"","S pomocí kryptografických funkcí je z jedné tajné věty vygenerován unikátní klíč a tento klíč pak slouží k odvození silných hesel ke všem stránkám, na které se musíte pomocí hesla přihlašovat","Using cryptographic features, a unique key is generated from a secret phrase, and this key is then used to derive strong passwords to all pages you need to log in"
"","Současná hesla naleznete pod prázdnou tajnou frází","You can find current passwords under an empty secret phrase"
"","Tajná fráze","Secret phrase"
"","Tato fráze se neukládá v aplikaci","This phrase is not saved in the application"
"","Toto je malá, ale velice efektivní aplikace na generování a bezpečné uložení silných hesel k internetovým stránkám, nebo k jiným službám na internetu.","This is a small but very effective application for generating and safely storing strong passwords on websites or other services on the Internet.<br><br>(The application has been machine-translated into English. Please help improve the translation. Visit the project at <a href='http://www.github.com/ondra-novak/pocket_pwdgen' target='_blank'>http://www.github.com/ondra-novak/pocket_pwdgen</a>)"
"","Ukázat","Show"
"","V tuto chvíli máte založený jediný klíč uložený pod jménem","At this time, you have a single key stored under your name"
"","Vyžadovat PIN","Require PIN"
"","Vyžadovat zadání dodatečné tajné fráze","Request additional secret phrase"
"","Vítejte v aplikaci Kapesní generátor hesel","Welcome to Pocket Password Generator"
"","Zadejte PIN","Enter the PIN"
"","Zadejte nový PIN","Enter a new PIN"
"","Zadejte tajnou frázi","Enter the secret phrase"
"","Zaznamenejte si následující frázi","Please write down the following passphrase"
"","Začínáme","Getting Started"
"","Znovu zadejte stejný PIN","Enter the same PIN again"
"","Zopakujte zadání hlavní fráze<br>(pro kontrolu)","Repeat to enter the main phrase <br> (for review)"
"","vyber klíč","select the key"
"","&lt;&lt; Zpět","&lt;&lt; Back"
"","Z bezpečnostních důvodů vaše zařízení blokuje použití fotoaparátu. Prosím zajištěte odstranění blokace.","For security reasons, your device is blocking the camera. Please remove the blocking."
"","Zabezpečení","Security"
"","Zadaná fráze neodpovídá původní frázi. Zkuste to znovu","The entered phrase does not match the original phrase. try it again"
"","Klíč byl nastaven","Setup complette"

